id,name,description_sale,description_purchase,default_code,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_product_53,Wall T25 Rockwool Stainless steel 304/Stainless steel 304,,,P10053,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_54,Wall T25 Rockwool Color steel sheet/Stainless steel 304,,,P10054,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_55,Wall T25 Rockwool Galvanized steel sheet/Stainless steel 305,,,P10055,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_56,Wall T42 Rockwool Color steel sheet/Color steel sheet,,,P10056,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_57,Wall T42 Rockwool Color steel sheet/Galvanized steel sheet,,,P10057,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_58,Wall T42 Rockwool Galvanized steel sheet/Galvanized steel sheet,,,P10058,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_59,Wall T42 Rockwool Stainless steel 304/Stainless steel 304,,,P10059,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_60,Wall T42 Rockwool Color steel sheet/Stainless steel 304,,,P10060,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_61,Wall T42 Rockwool Galvanized steel sheet/Stainless steel 305,,,P10061,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_62,Wall T50 Rockwool Color steel sheet/Color steel sheet,,,P10062,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_63,Wall T50 Rockwool Color steel sheet/Galvanized steel sheet,,,P10063,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_64,Wall T50 Rockwool Galvanized steel sheet/Galvanized steel sheet,,,P10064,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_65,Wall T50 Rockwool Stainless steel 304/Stainless steel 304,,,P10065,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_66,Wall T50 Rockwool Color steel sheet/Stainless steel 304,,,P10066,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_67,Wall T50 Rockwool Galvanized steel sheet/Stainless steel 305,,,P10067,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
