id,name_notused,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_cust_133,บริษัท เฮลท์แคร์เทคโนโลยี จำกัด,"Health Care Tecnology Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,13 ซอย 13 เสรี 4 ถ.ราม 9 ตัดใหม่,แขวง สวนหลวง เขต สวนหลวง,10250,กรุงเทพมหานคร,Thailand,0-2261-6539,,0-2258-3862,,,,,Weeranuwat S.
res_partner_cust_134,บริษัท ห้องเย็นท่าข้าม จำกัด,บริษัท ห้องเย็นท่าข้าม จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,100/3 หมู่ 7 ถ.พระราม 2,แขวง แสมดำ เขต บางขุนเทียน,10150,กรุงเทพมหานคร,Thailand,0-2908-8200,,0-2908-1832,,,,,Dusit T.
res_partner_cust_135,บริษัท อินไซท์ เอ็นจิเนียริ่ง จำกัด,บริษัท อินไซท์ เอ็นจิเนียริ่ง จำกัด,,45 Days,,TRUE,TRUE,FALSE,,Default,FALSE,77/16 หมู่ 10,แขวง บางม่วง เขต บางใหญ่,11140,นนทบุรี,Thailand,"0-2443-6667-9, 0-2921-4137-9",,0-2921-4145,,,,,Chairat S.
res_partner_cust_136,บริษัท ไอเอคิวเอ็นจิเนียริ่ง จำกัด,"IAQ Engineering Co.,Ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,700/63 อาคาร รีเจ้นท์ศรีนครินทร์ ทาวเวอร์ ถ.ศรีนครินทร์,แขวง สวนหลวง เขต สวนหลวง,10250,กรุงเทพมหานคร,Thailand,0-2722-7307,,0-2722-9068,,,,,Chatchai T.
res_partner_cust_137,บริษัท อินเตอร์ เอเชีย ซิสเต็มส์ เอ็นจิเนียริ่ง จำกัด,"Inter Asia Systems Engineering Co.,Ltd.",,30 Days,1000000,TRUE,TRUE,FALSE,,Default,FALSE,19/146 หมู่ 7 ถ.บางนา-ตราด กม. 17.5,แขวง บางโฉลง เขต บางพลี,10540,สมุทรปราการ,Thailand,0-2312-7836-7,,0-2312-7929,,,,,Chatchai T.
res_partner_cust_138,บริษัท ไอโซ พาแนล จำกัด,"ISO Panel Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,82 หมู่ 6 ถ.เศรษกิจ 1,แขวง นาดี เขต เมือง,74000,สมุทรสาคร,Thailand,0-3446-8542-3,,0-3446-8541,,,,,Chairat S.
res_partner_cust_139,บริษัท ไอ คอน ดักส์ จำกัด,"Iconduct Co.,Ltd.",,30 Days,200000,TRUE,TRUE,FALSE,,Default,FALSE,23/28 หมู่ 7,แขวง ลาดสวาย เขต ลำลูกกา,12150,ปทุมธานี,Thailand,0-2994-4809,,0-2994-4809,,,,,Chatchai T.
res_partner_cust_140,บริษัท ไอซีเอ็มเอส เอเชีย (ประเทศไทย) จำกัด,"ICMS Asia (Thailand) Co.,Ltd.",,30 Days,500000,TRUE,TRUE,FALSE,,Default,FALSE,39/13-16 ชั้น 4 ห้อง 4 เอ-ซี ซอย สวนพลู ถ.สาทร,แขวง ทุ่งมหาเมฆ เขต สาทร,10120,กรุงเทพมหานคร,Thailand,0-2675-4101,,0-2675-4108,,,,,Dusit T.
res_partner_cust_141,บริษัท อิตาเลี่ยนไทย เซรามิค เอ็นจิเนียริ่ง จำกัด,"Italian-Thai Ceramic Engineering Co.,Ltd ",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,17/12 หมู่ 1 ถ.เสรีไทย,แขวง คลองกุ่ม เขต บึงกุ่ม,10240,กรุงเทพมหานคร,Thailand,0-2138-0437,,0-2138-0435,,,,,Weeranuwat S.
res_partner_cust_142,บริษัท อินโนเวท คูล จำกัด,"Innovate Cool Co.,Ltd.",,PDC. 30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,204 ซอ่ย หมู่บ้านเลคการ์เด้น ซอย 2 ถ.ขุมทอง-ลำต้อยติ่ง,แขวง ขุมทอง เขต ลาดกระบัง,10520,กรุงเทพมหานคร,Thailand,0-2704-1218,,0-2704-1218,,,,,Chairat S.
