"id","loc_rack","loc_row","loc_case"
"product.product_part_174","01-01",,"โกดังอะลูมิเนียม"
"product.product_part_175",,,"โกดังอะลูมิเนียม"
"product.product_part_176",,,"โกดังอะลูมิเนียม"
"product.product_part_177","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_178","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_179","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_180","01-16",,"โกดังอะลูมิเนียม"
"product.product_part_181",,,"โกดังอะลูมิเนียม"
"product.product_part_182","01-20",,"โกดังอะลูมิเนียม"
"product.product_part_183","01-09",,"โกดังอะลูมิเนียม"
"product.product_part_184","01-04",,"โกดังอะลูมิเนียม"
"product.product_part_185","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_186","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_187","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_188","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_189",,,"โกดังอะลูมิเนียม"
"product.product_part_190","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_191",,,"โกดังอะลูมิเนียม"
"product.product_part_192",,,"โกดังอะลูมิเนียม"
"product.product_part_193","01-20",,"โกดังอะลูมิเนียม"
"product.product_part_194",,,"โกดังอะลูมิเนียม"
"product.product_part_195",,,"โกดังอะลูมิเนียม"
"product.product_part_196","01-18",,"โกดังอะลูมิเนียม"
"product.product_part_197","01-22",,"โกดังอะลูมิเนียม"
"product.product_part_198","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_199","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_200","01-23",,"โกดังอะลูมิเนียม"
"product.product_part_201","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_202","01-09",,"โกดังอะลูมิเนียม"
"product.product_part_203",,,"โกดังอะลูมิเนียม"
"product.product_part_204",,,"โกดังอะลูมิเนียม"
"product.product_part_205","01-17",,"โกดังอะลูมิเนียม"
"product.product_part_206","01-20",,"โกดังอะลูมิเนียม"
