id,name,description_sale,description_purchase,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_cold_70,Wall T125 PU.Foam Alpine SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_71,Wall T125 PU.Foam OffWhite SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_72,Wall T125 PU.Foam Alpine SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_73,Wall T150 PU.Foam OffWhite SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_74,Wall T150 PU.Foam Alpine SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_75,Wall T150 PU.Foam OffWhite SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_76,Wall T150 PU.Foam Alpine SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_77,Wall T150 PU.Foam OffWhite SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_78,Wall T150 PU.Foam Alpine SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_79,Wall T150 PU.Foam OffWhite SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_80,Wall T150 PU.Foam Alpine SlipJoint CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_81,Wall T150 PU.Foam OffWhite SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_82,Wall T150 PU.Foam Alpine SpeedLock ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_83,Wall T150 PU.Foam OffWhite SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_84,Wall T150 PU.Foam Alpine SlipJoint ST/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_85,Ceiling T25 PU.Foam OffWhite SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_86,Ceiling T25 PU.Foam Alpine SpeedLock CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_87,Ceiling T25 PU.Foam OffWhite SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_88,Ceiling T25 PU.Foam Alpine SlipJoint CB/CB,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
product_cold_89,Ceiling T25 PU.Foam OffWhite SpeedLock CB/ST,,,,,Cold Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,All products,sqm.,sqm.,,Real Time (automated),1,1,
