id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_std-ahu-amair_1147,PNL ASSY 50MM 0306 CL/GI 0A,362-2AL0306CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,450,Output VAT,Input VAT
product.product_std-ahu-amair_1148,PNL ASSY 50MM 0306 CL/CL 0A,362-2AL0306CLCL0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,567,Output VAT,Input VAT
product.product_std-ahu-amair_1149,PNL ASSY 50MM 0307 CL/GI 0A,362-2AL0307CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,521,Output VAT,Input VAT
product.product_std-ahu-amair_1150,PNL ASSY 50MM 0308 CL/GI 0A,362-2AL0308CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,589,Output VAT,Input VAT
product.product_std-ahu-amair_1151,PNL ASSY 50MM 0309 CL/GI 0A,362-2AL0309CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,661,Output VAT,Input VAT
product.product_std-ahu-amair_1152,PNL ASSY 50MM 0310 CL/GI 0A,362-2AL0310CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,733,Output VAT,Input VAT
product.product_std-ahu-amair_1153,PNL ASSY 50MM 0310 CL/SS 0A,362-2AL0310CLSS0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1412,Output VAT,Input VAT
product.product_std-ahu-amair_1154,PNL ASSY 50MM 0311 CL/GI 0A,362-2AL0311CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,803,Output VAT,Input VAT
product.product_std-ahu-amair_1155,PNL ASSY 50MM 0312 CL/GI 0A,362-2AL0312CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,873,Output VAT,Input VAT
product.product_std-ahu-amair_1156,PNL ASSY 50MM 0313 CL/GI 0A,362-2AL0313CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,946,Output VAT,Input VAT
product.product_std-ahu-amair_1157,PNL ASSY 50MM 0314 CL/GI 0A,362-2AL0314CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1015,Output VAT,Input VAT
product.product_std-ahu-amair_1158,PNL ASSY 50MM 0404 CL/GI 0A,362-2AL0404CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,399,Output VAT,Input VAT
product.product_std-ahu-amair_1159,PNL ASSY 50MM 0405 CL/GI 0A,362-2AL0405CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,492,Output VAT,Input VAT
product.product_std-ahu-amair_1160,PNL ASSY 50MM 0406 CL/GI 0A,362-2AL0406CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,583,Output VAT,Input VAT
product.product_std-ahu-amair_1161,PNL ASSY 50MM 0407 CL/GI 0A,362-2AL0407CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,675,Output VAT,Input VAT
product.product_std-ahu-amair_1162,PNL ASSY 50MM 0408 CL/GI 0A,362-2AL0408CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,765,Output VAT,Input VAT
product.product_std-ahu-amair_1163,PNL ASSY 50MM 0409 CL/GI 0A,362-2AL0409CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,857,Output VAT,Input VAT
product.product_std-ahu-amair_1164,PNL ASSY 50MM 0410 CL/GI 0A,362-2AL0410CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,950,Output VAT,Input VAT
product.product_std-ahu-amair_1165,PNL ASSY 50MM 0411 CL/GI 0A,362-2AL0411CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1040,Output VAT,Input VAT
product.product_std-ahu-amair_1166,PNL ASSY 50MM 0412 CL/GI 0A,362-2AL0412CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1133,Output VAT,Input VAT
product.product_std-ahu-amair_1167,PNL ASSY 50MM 0413 CL/GI 0A,362-2AL0413CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1223,Output VAT,Input VAT
product.product_std-ahu-amair_1168,PNL ASSY 50MM 0414 CL/GI 0A,362-2AL0414CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1316,Output VAT,Input VAT
product.product_std-ahu-amair_1169,PNL ASSY 50MM 0505 CL/GI 0A,362-2AL0505CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,603,Output VAT,Input VAT
product.product_std-ahu-amair_1170,PNL ASSY 50MM 0506 CL/GI 0A,362-2AL0506CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,717,Output VAT,Input VAT
product.product_std-ahu-amair_1171,PNL ASSY 50MM 0507 CL/GI 0A,362-2AL0507CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,829,Output VAT,Input VAT
product.product_std-ahu-amair_1172,PNL ASSY 50MM 0508 CL/GI 0A,362-2AL0508CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,941,Output VAT,Input VAT
product.product_std-ahu-amair_1173,PNL ASSY 50MM 0509 CL/GI 0A,362-2AL0509CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1053,Output VAT,Input VAT
product.product_std-ahu-amair_1174,PNL ASSY 50MM 0510 CL/GI 0A,362-2AL0510CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1167,Output VAT,Input VAT
product.product_std-ahu-amair_1175,PNL ASSY 50MM 0511 CL/GI 0A,362-2AL0511CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1279,Output VAT,Input VAT
product.product_std-ahu-amair_1176,PNL ASSY 50MM 0512 CL/GI 0A,362-2AL0512CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1391,Output VAT,Input VAT
product.product_std-ahu-amair_1177,PNL ASSY 50MM 0513 CL/GI 0A,362-2AL0513CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1504,Output VAT,Input VAT
product.product_std-ahu-amair_1178,PNL ASSY 50MM 0514 CL/GI 0A,362-2AL0514CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1616,Output VAT,Input VAT
product.product_std-ahu-amair_1179,PNL ASSY 50MM 0514 CL/GI 0A,362-2AL0516CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,2014,Output VAT,Input VAT
product.product_std-ahu-amair_1180,PNL ASSY 50MM 0606 CL/GI 0A,362-2AL0606CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,850,Output VAT,Input VAT
product.product_std-ahu-amair_1181,PNL ASSY 50MM 0607 CL/GI 0A,362-2AL0607CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,983,Output VAT,Input VAT
product.product_std-ahu-amair_1182,PNL ASSY 50MM 0608 CL/GI 0A,362-2AL0608CLGI0A,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1116,Output VAT,Input VAT
