id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_cold_room_12,"Double swing door (4 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 50 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,96000,Output VAT,Input VAT
product.product_cold_room_13,"Double swing door (4 Frame) Size : (W) 2,400 x (H) 2,000 x (T) 50 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,106000,Output VAT,Input VAT
product.product_cold_room_14,"Sliding door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 75 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,56000,Output VAT,Input VAT
product.product_cold_room_15,"Sliding door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 75 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,60000,Output VAT,Input VAT
product.product_cold_room_16,"Sliding door (3 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 75 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,75000,Output VAT,Input VAT
product.product_cold_room_17,"Sliding door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 75 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,62000,Output VAT,Input VAT
product.product_cold_room_18,"Sliding door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 75 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,66000,Output VAT,Input VAT
product.product_cold_room_19,"Sliding door (4 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 75 mm.",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,80000,Output VAT,Input VAT
product.product_cold_room_20,PVC Strip curtain,,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,3500,Output VAT,Input VAT
product.product_cold_room_21,Pressure relief port,,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,5000,Output VAT,Input VAT
product.product_cold_room_22,Steel base for Cold Room,,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,6000,Output VAT,Input VAT
product.product_cold_room_23,"Other fitting parts (Silicone, bolt, nut, washer, rivet & etc.)",,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,400,Output VAT,Input VAT
product.product_cold_room_24,Floor heater with Thermostat,,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT,Input VAT
product.product_cold_room_25,Wall panel (T) 75 mm. (Color steel sheet/Color steel sheet),,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1900,Output VAT,Input VAT
product.product_cold_room_26,Ceiling panel (T) 75 mm. (Color steel sheet/Color steel sheet),,Non-Standard,,Cold Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1900,Output VAT,Input VAT
