id,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_supplier_166,ห้างหุ้นส่วนจำกัด เอ็ม.เอส.โคลด์รูม แอนด์ คลีนรูม,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,530/5 หมู่ 11 นวมินทร์,คันนายาว คันนายาว,10230,กรุงเทพมหานคร,,,08-7612-1751,0-2944-0324,,,,,Chairat S.
res_partner_supplier_167,บริษัท พี เอ็ม เอส โปรดักส์ จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,551/32-34 ซอย สรรค์สุข สาธุประดิษฐ์,ช่องนนทรี ยานนาวา,10120,กรุงเทพมหานคร,,0-2284-2159-62,,0-2294-6068,,,,,Chairat S.
res_partner_supplier_168,ห้างหุ้นส่วนจำกัด เอ็ม เอ็ม ซี,,7 Days,,TRUE,TRUE,FALSE,,Default,FALSE,38/18 หมู่ 9 สุขประยูร,นาป่า เมือง,20000,ชลบุรี,,,,,,,,,Chatchai T.
res_partner_supplier_169,ห้างหุ้นส่วนจำกัด เอ็ม เอ็ม ซี (Invoice),,,,FALSE,TRUE,FALSE,ห้างหุ้นส่วนจำกัด เอ็ม เอ็ม ซี,Invoice,FALSE,25/142 หมู่ 12 เพชรเกษม,หนองค้างพลู หนองแขม,,กรุงเทพมหานคร,,,,,,,,,Chatchai T.
res_partner_supplier_170,บริษัท เอ็ม เอ็ม ที เซอร์วิส จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,11/4 หมู่ 4 ,โคกช้าง บางไทร,13190,พระนครศรีอยุธยา,,0-3571-8459,,"0-3571-8433, 0-3571-8459",,,,,Dusit T.
res_partner_supplier_171,บริษัท โมดูล่า กรุ๊ป (ไทยแลนด์) จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,455/64 หมู่ 1 ,บางบ่อ บางบ่อ,10560,สมุทรปราการ,,0-2721-3544,,0-2721-3545,,,,,Surasak S.
res_partner_supplier_172,บริษัท โมเดอร์นฟอร์ม เฮลท์แอนด์แคร์ จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,699 อาคาร โมเดอร์นฟอร์มทาวเวอร์ ศรีนครินทร์,สวนหลวง สวนหลวง,10250,กรุงเทพมหานคร,,0-2722-8033-5,,0-2722-8032,,,,,Weeranuwat S.
res_partner_supplier_173,บริษัท มหาจักรไกร เอ็นจิเนียริ่ง จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,3/47 หมู่ 9 ,ลำลูกกา ลำลูกกา,12150,ปทุมธานี,,0-2905-2030-1,,0-2905-2031,,,,,Weeranuwat S.
res_partner_supplier_174,บริษัท เมเจอร์ แอร์คอนดิชั่นนิ่ง จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,89 หมู่ 11 เทพารักษ์,บางปลา บางพลี,10540,สมุทรปราการ,,0-2185-7254-55,,0-2185-7256,,,,,Surasak S.
res_partner_supplier_175,บริษัท มาเยคาว่า (ประเทศไทย) จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,2/3 หมู่ 14 อาคาร บางนาทาวเวอร์ อาคารเอ ชั้น 9 บางนา-ตราด,บางแก้ว บางพลี,10540,สมุทรปราการ,,0-2751-9610-7,,0-2751-9565-6,,,,,Chatchai T.
res_partner_supplier_176,บริษัท แมคโครฟาร์ จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,89 ซอย พัฒนาการ 20 แยก 4 พัฒนาการ,สวนหลวง สวนหลวง,10250,กรุงเทพมหานคร,,0-2314-6671,,0-2318-6091,,,,,Chatchai T.
res_partner_supplier_177,บริษัท มีนา แอสโซซิเอทส์ จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,779 สุขุมวิท 103,บางจาก พระโขนง,10250,กรุงเทพมหานคร,,0-2729-7900-1,,0-2729-7903,,,,,Weeranuwat S.
res_partner_supplier_178,ณัฐวุฒิการช่าง,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,101/86 หมู่ 7 ,บางพลีใหญ่ บางพลี,10540,สมุทรปราการ,,,,,,,,,Chairat S.
