id,name,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price
product_cleanroom_52,"Opening panel with aluminium frame for Hepa, Lighting",,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,1500
product_cleanroom_53,Demolish Single swing / sliding door,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,1500
product_cleanroom_54,Demolish Double swing / sliding door,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,1500
product_cleanroom_55,Panel (T) 50 mm. Polyurethane Foam (Galvanized / Galvanized),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1450
product_cleanroom_56,Panel (T) 42 mm. Polyurethane Foam (Color / Color),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1350
product_cleanroom_57,Panel (T) 42 mm. Polyurethane Foam (Color / Galvanized),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1300
product_cleanroom_58,Panel (T) 42 mm. Polyurethane Foam (Galvanized / Galvanized),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1250
product_cleanroom_59,Panel (T) 25 mm. Polyurethane Foam (Color / Color),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1200
product_cleanroom_60,Aluminium beam support,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,1200
product_cleanroom_61,Aluminium Curve,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,1200
product_cleanroom_62,Opening cutting Lighting,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,1200
product_cleanroom_63,Panel (T) 25 mm. Polyurethane Foam (Color / Galvanized),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1150
product_cleanroom_64,Panel (T) 25 mm. Polyurethane Foam (Galvanized / Galvanized),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1100
product_cleanroom_65,Aluminium angle + PVC Curve (30 x 30),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,800
product_cleanroom_66,Aluminium floor base,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,700
product_cleanroom_67,Aluminium Angle 40 x 40,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,m.,m.,Periodical (manual),0,500
product_cleanroom_68,Spray paint,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,tube,tube,Periodical (manual),0,500
product_cleanroom_69,Installation Clean Room with Supervisor (Upcountry),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,450
product_cleanroom_70,Installation Clean Room with Supervisor (Bangkok and Surroudings area),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,400
product_cleanroom_71,"Other fitting parts (Silicone, bolt, nut & washer)",,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,300
product_cleanroom_72,"Silicone ""Sika"" (0.4 Tube/m2)",,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,tube,tube,Periodical (manual),0,200
product_cleanroom_73,ฝังท่อ BOX - SWITCH,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,200
product_cleanroom_74,Demolish C/R Panel with fitting parts,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,150
product_cleanroom_75,Demolish window glass,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,150
product_cleanroom_76,Hole for Sprinkle Head,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,hole,hole,Periodical (manual),0,80
product_cleanroom_77,Lighting,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,0
product_cleanroom_78,Installation Clean Room with Supervisor (Oversea),,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,0
product_cleanroom_79,Transportation Clean Room Upcountry,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,lot,lot,Periodical (manual),0,0
product_cleanroom_80,Transportation Clean Room Oversea,,,Clean Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,lot,lot,Periodical (manual),0,0
