id,name,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price
product_coldroom_41,"Sliding door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,68000
product_coldroom_42,"Sliding door (4 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,90000
product_coldroom_43,Wall panel (T) 100 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,2200
product_coldroom_44,Ceiling panel (T) 100 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,2200
product_coldroom_45,Floor panel (T) 100 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,6000
product_coldroom_46,Floor insulation (T) 100 mm.,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1500
product_coldroom_47,"Single swing door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,48000
product_coldroom_48,"Single swing door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,64000
product_coldroom_49,"Single swing door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,51000
product_coldroom_50,"Single swing door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,67000
product_coldroom_51,"Double swing door (3 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,96000
product_coldroom_52,"Double swing door (3 Frame) Size : (W) 2,400 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,120000
product_coldroom_53,"Double swing door (4 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,102000
product_coldroom_54,"Double swing door (4 Frame) Size : (W) 2,400 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,128000
product_coldroom_55,"Sliding door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,65000
product_coldroom_56,"Sliding door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,70000
product_coldroom_57,"Sliding door (3 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,85000
product_coldroom_58,"Sliding door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,68000
product_coldroom_59,"Sliding door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,75000
product_coldroom_60,"Sliding door (4 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,90000
product_coldroom_61,Wall panel (T) 125 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,2600
product_coldroom_62,Ceiling panel (T) 125 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,2600
product_coldroom_63,Floor panel (T) 125 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,6300
product_coldroom_64,Floor Insulation (T) 125 mm.,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,1700
product_coldroom_65,"Single swing door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,53000
product_coldroom_66,"Single swing door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,68000
product_coldroom_67,"Single swing door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,56000
product_coldroom_68,"Single swing door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,70000
product_coldroom_69,"Double swing door (3 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,100000
product_coldroom_70,"Double swing door (3 Frame) Size : (W) 2,400 x (H) 2,000 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,130000
