"id","name","default_code","categ_id","uom_id","uos_id","uos_coeff","loc_rack","loc_row","loc_case",,
"product.product_part_87","AL PROFILE FOR LIGHTING 75 mm(NA.1)","SP01129","Aluminium","pcs","kg",4,,,"โกดังอะลูมิเนียม",,
"product.product_part_88","AL PROFILE FOR LIGHTING 75 mm(MF)","SP01130","Aluminium","pcs","kg",4,"01-03",,"โกดังอะลูมิเนียม",,
"product.product_part_89","AL PROFILE FOR LIGHTING 75 mm(OW)","SP01131","Aluminium","pcs","kg",4,"01-04",,"โกดังอะลูมิเนียม",,
"product.product_part_90","AL PROFILE FOR LIGHTING 75 mm(AP)","SP01132","Aluminium","pcs","kg",4,"01-04",,"โกดังอะลูมิเนียม",,
"product.product_part_91","AL PROFILE FOR DOOR PANEL(FLUSH)(NA.1)","SP01133","Aluminium","pcs","kg",2,,,"โกดังอะลูมิเนียม",,
"product.product_part_92","AL PROFILE FOR DOOR PANEL(FLUSH)(MF)","SP01134","Aluminium","pcs","kg",2,"01-17",,"โกดังอะลูมิเนียม",,
"product.product_part_93","AL PROFILE FOR DOOR PANEL(FLUSH)(OW)","SP01135","Aluminium","pcs","kg",2,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_94","AL PROFILE FOR DOOR PANEL(FLUSH)(AP)","SP01136","Aluminium","pcs","kg",2,"01-14",,"โกดังอะลูมิเนียม",,
"product.product_part_95","AL ANGLE 30X80X1.5 mm(NA.1)","SP01153","Aluminium","pcs","kg",3,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_96","AL ANGLE30X80X1.5 mm(MF)","SP01154","Aluminium","pcs","kg",3,"01-12",,"โกดังอะลูมิเนียม",,
"product.product_part_97","AL ANGLE 30X80X1.5 mm(OW)","SP01155","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
"product.product_part_98","AL ANGLE 30X80X1.5 mm(AP)","SP01156","Aluminium","pcs","kg",3,"01-01",,"โกดังอะลูมิเนียม",,
"product.product_part_99","AL U CAP 25X25X25 mm(NA.1)","SP01157","Aluminium","pcs","kg",2,,,"โกดังอะลูมิเนียม",,
"product.product_part_100","AL U CAP 25X25X25 mm(MF)","SP01158","Aluminium","pcs","kg",2,"01-05",,"โกดังอะลูมิเนียม",,
"product.product_part_101","AL U CAP 25X25X25 mm(OW)","SP01159","Aluminium","pcs","kg",2,"01-22",,"โกดังอะลูมิเนียม",,
"product.product_part_102","AL U CAP 25X25X25 mm(AP)","SP01160","Aluminium","pcs","kg",2,"01-22",,"โกดังอะลูมิเนียม",,
"product.product_part_103","AL U CAP14X42X14 mm(NA.1)","SP01161","Aluminium","pcs","kg",1,"01-11",,"โกดังอะลูมิเนียม",,
"product.product_part_104","AL U CAP14X42X14 mm(MF)","SP01162","Aluminium","pcs","kg",1,"01-02",,"โกดังอะลูมิเนียม",,
"product.product_part_105","AL U CAP14X42X14 mm(OW)","SP01163","Aluminium","pcs","kg",1,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_106","AL U CAP14X42X14 mm(AP)","SP01164","Aluminium","pcs","kg",1,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_107","AL PROFILE FOR SLIDING DOOR(NA.1)","SP01165","Aluminium","pcs","kg",2,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_108","AL PROFILE FOR SLIDING DOOR(MF)","SP01166","Aluminium","pcs","kg",2,,,"โกดังอะลูมิเนียม",,
"product.product_part_109","AL PROFILE FOR SLIDING DOOR(OW)","SP01167","Aluminium","pcs","kg",2,"01-10",,"โกดังอะลูมิเนียม",,
