"id","name","inventory_line_id/location_id","inventory_line_id/product_id/id","inventory_line_id/product_qty","inventory_line_id/product_uom"
,,"RM","product.product_part_91",0,"pcs"
,,"RM","product.product_part_92",114,"pcs"
,,"RM","product.product_part_93",0,"pcs"
,,"RM","product.product_part_94",54,"pcs"
,,"RM","product.product_part_95",186,"pcs"
,,"RM","product.product_part_96",246,"pcs"
,,"RM","product.product_part_97",0,"pcs"
,,"RM","product.product_part_98",5,"pcs"
,,"RM","product.product_part_99",0,"pcs"
,,"RM","product.product_part_100",496,"pcs"
,,"RM","product.product_part_101",41,"pcs"
,,"RM","product.product_part_102",3,"pcs"
,,"RM","product.product_part_103",410,"pcs"
,,"RM","product.product_part_104",320,"pcs"
,,"RM","product.product_part_105",61,"pcs"
,,"RM","product.product_part_106",43,"pcs"
,,"RM","product.product_part_107",132,"pcs"
,,"RM","product.product_part_108",0,"pcs"
,,"RM","product.product_part_109",14,"pcs"
,,"RM","product.product_part_110",7,"pcs"
,,"RM","product.product_part_111",0,"pcs"
,,"RM","product.product_part_112",108,"pcs"
,,"RM","product.product_part_113",26,"pcs"
,,"RM","product.product_part_114",56,"pcs"
,,"RM","product.product_part_115",669,"pcs"
,,"RM","product.product_part_116",0,"pcs"
,,"RM","product.product_part_117",378,"pcs"
,,"RM","product.product_part_118",37,"pcs"
,,"RM","product.product_part_119",11,"pcs"
,,"RM","product.product_part_120",70,"pcs"
,,"RM","product.product_part_121",126,"pcs"
,,"RM","product.product_part_122",33,"pcs"
,,"RM","product.product_part_123",11,"pcs"
,,"RM","product.product_part_124",242,"pcs"
,,"RM","product.product_part_125",27,"pcs"
,,"RM","product.product_part_126",2,"pcs"
,,"RM","product.product_part_127",10,"pcs"
,,"RM","product.product_part_128",6,"pcs"
,,"RM","product.product_part_129",0,"pcs"
,,"RM","product.product_part_130",190,"pcs"
,,"RM","product.product_part_131",13,"pcs"
,,"RM","product.product_part_132",7,"pcs"
,,"RM","product.product_part_133",559,"pcs"
,,"RM","product.product_part_134",0,"pcs"
,,"RM","product.product_part_135",26,"pcs"
,,"RM","product.product_part_136",4,"pcs"
,,"RM","product.product_part_137",0,"pcs"
,,"RM","product.product_part_138",0,"pcs"
,,"RM","product.product_part_139",88,"pcs"
