id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_clean_room_62,"Single sliding door 3 Frame (W) 900 x (H) 2,100 x (T) 42 mm. (Stainless)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT 7%,Input VAT
product.product_clean_room_63,"Double sliding door 3 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,54000,Output VAT 7%,Input VAT
product.product_clean_room_64,"Double sliding door 3 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (Stainless)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,60000,Output VAT 7%,Input VAT
product.product_clean_room_65,"Emergency Single swing door 3 Frame (W) 900 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT 7%,Input VAT
product.product_clean_room_66,"Emergency Double swing door 3 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,55000,Output VAT 7%,Input VAT
product.product_clean_room_67,"Emergency Service door (Single swing) 4 Frame (W) 600 x (H) 1,000 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,20000,Output VAT 7%,Input VAT
product.product_clean_room_68,Single fixed window (Temper glass) (W) 865 x (H) 865 (T) 6 mm.,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,5500,Output VAT 7%,Input VAT
product.product_clean_room_69,Double fixed window (Temper glass) (W) 865 x (H) 865 (T) 6 mm.,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,8000,Output VAT 7%,Input VAT
product.product_clean_room_70,"Single fixed window (Temper glass) (W) 1,160 x (H) 900 (T) 6 mm.",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,7500,Output VAT 7%,Input VAT
product.product_clean_room_71,"Double fixed window (Temper glass) (W) 1,160 x (H) 900 (T) 6 mm.",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,12000,Output VAT 7%,Input VAT
product.product_clean_room_72,"Sliding window (Glass) (W) 900 x (H) 1,800 (T) 6 mm.",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,20000,Output VAT 7%,Input VAT
product.product_clean_room_73,"Sliding window (Glass) (W) 900 x (H) 2,000 (T) 6 mm.",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,30000,Output VAT 7%,Input VAT
product.product_clean_room_74,Aluminium beam support,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,1200,Output VAT 7%,Input VAT
product.product_clean_room_75,Aluminium floor base,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,700,Output VAT 7%,Input VAT
product.product_clean_room_76,Aluminium angle + PVC Curve (30 x 30),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,800,Output VAT 7%,Input VAT
product.product_clean_room_77,Aluminium Curve,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,1200,Output VAT 7%,Input VAT
product.product_clean_room_78,Aluminium Angle 40 x 40,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,500,Output VAT 7%,Input VAT
product.product_clean_room_79,Opening cutting Lighting,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,1200,Output VAT 7%,Input VAT
product.product_clean_room_80,"STD. Column Cladding (400 x 400 mm. , 4 ด้าน)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,8000,Output VAT 7%,Input VAT
